ccn,cares_provider_orig,cares_city_orig,cares_state_orig
140049,"PIPELINE - WEST SUBURBAN MEDICAL CENTER, LLC",OAK PARK,IL
140052,OSF HEALTHCARE SYSTEM,PEORIA,IL
140053,ST. JOHN'S HOSPITAL OF THE HOSPITAL SISTERS OF THE THIRD ORDER OF ST F,SPRINGFIELD,IL
140054,MACNEAL HOSPITAL,BERWYN,IL
140054,GOTTLIEB COMMUNITY HEALTH SERVICES CORPORATION,BERWYN,IL
140058,PASSAVANT MEMORIAL AREA HOSPITAL ASSOCIATION,JACKSONVILLE,IL
140059,JERSEY COMMUNITY HOSPITAL,JERSEYVILLE,IL
140062,PALOS HEALTH (AKA PALOS COMMUNITY HOSPITAL),PALOS HEIGHTS,IL
140062,PALOS COMMUNITY HOSPITAL,PALOS HEIGHTS,IL
140063,RUSH OAK PARK HOSPITAL,OAK PARK,IL
140063,RUSH OAK PARK HOSPITAL INC,OAK PARK,IL
140064,ST MARY MEDICAL CENTER,PEORIA,IL
140065,AMITA HEALTH ADVENTIST MEDICAL CENTER LA GRANGE,LA GRANGE,IL
140065,ADVENTIST MIDWEST HEALTH,LISLE,IL
140067,SAINT FRANCIS MEDICAL CENTER,PEORIA,IL
140067,ST FRANCIS HOSPITAL,PEORIA,IL
140068,ROSELAND COMMUNITY HOSPITAL,CHICAGO,IL
140068,ROSELAND COMMUNITY HOSPITAL ASSOCIATION,CHICAGO,IL
140077,TOUCHETTE REGIONAL HOSPITAL INC,CENTREVILLE,IL
140080,AMITA HEALTH SAINT FRANCIS HOSPITAL EVANSTON (FKA PRESENCE SAINT FRANCIS HOSPITAL),EVANSTON,IL
140080,PRESENCE CHICAGO HOSPITALS NETWORK,BOLINGBROOK,IL
140082,WEISS MEMORIAL HOSPITAL,CHICAGO,IL
140082,"PIPELINE - WEISS MEMORIAL HOSPITAL, LLC",CHICAGO,IL
140084,VISTA MEDICAL CENTER - EAST (AKA VISTA HEALTH SYSTEM),WAUKEGAN,IL
140084,WAUKEGAN ILLINOIS HOSPITAL COMPANY LLC,BRENTWOOD,TN
140088,UCHICAGO MEDICINE CENTER FOR CARE AND DISCOVERY (AKA CCD),CHICAGO,IL
140088,UCHICAGO MEDICINE MITCHELL HOSPITAL,CHICAGO,IL
140088,THE UNIVERSITY OF CHICAGO MEDICAL CENTER,BURR RIDGE,IL
140088,UNIVERSITY OF CHICAGO,BURR RIDGE,IL
140089,MCDONOUGH COUNTY HOSPITAL DISTRICT,BUSHNELL,IL
140091,THE CARLE FOUNDATION HOSPITAL,URBANA,IL
140093,OSF HEALTHCARE SYSTEM,PEORIA,IL
140094,AMITA HEALTH SAINT MARY AND ELIZABETH MEDICAL CENTER CHICAGO - SAINT MARY CAMPUS (FKA PRESENCE SAINT MARY AND ELIZABETH MEDICAL CENTER - SAINT MARY CAMPUS),CHICAGO,IL
140095,SAINT ANTHONY HOSPITAL,CHICAGO,IL
140101,MORRIS HOSPITAL,MORRIS,IL
140103,ST BERNARD HOSPITAL,CHICAGO,IL
140110,OTTAWA REGIONAL HOSPITAL & HEALTHCARE CENTER,OTTAWA,IL
140113,OSF HEALTHCARE SYSTEM,PEORIA,IL
140114,SWEDISH HOSPITAL (FKA SWEDISH COVENANT HOSPITAL),CHICAGO,IL
140114,SWEDISH COVENANT HEALTH,CHICAGO,IL
140115,THOREK MEMORIAL HOSPITAL,CHICAGO,IL
140116,NORTHWESTERN MEDICINE MCHENRY HOSPITAL (FKA CENTEGRA HOSPITAL - MCHENRY),MCHENRY,IL
140116,NORTHERN ILLINOIS MEDICAL CENTER,MCHENRY,IL
140117,AMITA HEALTH RESURRECTION MEDICAL CENTER CHICAGO (FKA PRESENCE RESURRECTION MEDICAL CENTER),CHICAGO,IL
140117,PRESENCE CHICAGO HOSPITALS NETWORK,BOLINGBROOK,IL
140119,RUSH UNIVERSITY MEDICAL CENTER,CHICAGO,IL
140120,PEKIN MEMORIAL HOSPITAL,PEKIN,IL
140122,AMITA HEALTH ADVENTIST MEDICAL CENTER HINSDALE,HINSDALE,IL
140122,ADVENTIST MIDWEST HEALTH,HINSDALE,IL
140124,JOHN H STROGER JR HOSPITAL OF COOK COUNTY,CHICAGO,IL
140124,COOK COUNTY,CHICAGO,IL
140125,GATEWAY REGIONAL MEDICAL CENTER,GRANITE CITY,IL
140125,GRANITE CITY ILLINOIS HOSPITAL COMPANY LLC,BRENTWOOD,TN
140127,ADVOCATE HEALTH AND HOSPITALS CORPORATION,Downers Grove,IL
140130,NORTHWESTERN MEDICINE LAKE FOREST HOSPITAL,LAKE FOREST,IL
140130,NORTHWESTERN LAKE FOREST HOSPITAL,LAKE FOREST,IL
140133,HOLY CROSS HOSPITAL (IL),CHICAGO,IL
140133,HOLY CROSS HOSPITAL,WESTCHESTER,IL
140135,DECATUR MEMORIAL HOSPITAL,DECATUR,IL
140137,HSHS HOLY FAMILY HOSPITAL INC,GREENVILLE,IL
140143,ST. MARGARETS HOSPITAL,SPRING VALLEY,IL
140145,ST JOSEPHS HOSPITAL BREESE OF THE HOSPITAL SISTERS OF THE THIRD ORDER,BELLEVILLE,IL
140147,RICHLAND MEMORIAL HOSPITAL INC,OLNEY,IL
140148,MEMORIAL MEDICAL CENTER,SPRINGFIELD,IL
140150,UNIVERSITY OF ILLINOIS HOSPITAL,CHICAGO,IL
140150,THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS,CHICAGO,IL
140155,PRESENCE CENTRAL AND SUBURBAN HOSPITALS NETWORK,BOLINGBROOK,IL
140158,MERCY HOSPITAL & MEDICAL CENTER,CHICAGO,IL
140158,MERCY MEDICAL CENTER,CHICAGO,IL
140160,FREEPORT MEMORIAL HOSPITAL,FREEPORT,IL
140161,SAINT JAMES HOSPITAL,PEORIA,IL
140162,ST. JOSEPH MEDICAL CENTER,BLOOMINGTON,IL
140164,SOUTHERN ILLINOIS HOSPITAL SERVICES,CARBONDALE,IL
140166,ST MARYS HOSPITAL SISTERS OF THE THIRD ORDER OF ST FRANCIS,DECATUR,IL
140167,IROQUOIS MEMORIAL HOSPITAL AND RESIDENT HOME,WATSEKA,IL
140172,FRANCISCAN HEALTH OLYMPIA FIELDS (FKA FRANCISCAN ST JAMES HEALTH - OLYMPIA FIELDS CAMPUS),OLYMPIA FIELDS,IL
140172,FRANCISCAN HEALTH OLYMPIA FIELDS & CHICAGO HEIGHTS,HARVEY,IL
140174,AMITA HEALTH MERCY MEDICAL CENTER AURORA (FKA PRESENCE MERCY MEDICAL CENTER),AURORA,IL
140174,PRESENCE CENTRAL AND SUBURBAN HOSPITALS NETWORK,BOLINGBROOK,IL
140177,JACKSON PARK HOSPITAL & MEDICAL CENTER,CHICAGO,IL
140177,JACKSON PARK HOSPITAL FOUNDATION,CHICAGO,IL
140179,OSF LITTLE COMPANY OF MARY MEDICAL CENTER (FKA LITTLE COMPANY OF MARY HOSPITAL),EVERGREEN PARK,IL
140179,LITTLE COMPANY OF MARY HOSPITAL INC,EVERGREEN PARK,IL
140180,PRESENCE CHICAGO HOSPITALS NETWORK,BOLINGBROOK,IL
140181,SOUTH SHORE HOSPITAL (IL),CHICAGO,IL
140181,SOUTH SHORE HOSPITAL CORPORATION,CHICAGO,IL
140182,ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,CHICAGO,IL
140182,ADVOCATE NORTH SIDE HEALTH NETWORK,CHICAGO,IL
140184,MARION HOSPITAL CORPORATION,BRENTWOOD,TN
140185,MEMORIAL HOSPITAL BELLEVILLE,BELLEVILLE,IL
140185,"PROTESTANT MEMORIAL MEDICAL CENTER, INC.",BELLEVILLE,IL
140186,RIVERSIDE MEDICAL CENTER,KANKAKEE,IL
140187,HSHS ST ELIZABETHS HOSPITAL,O FALLON,IL
140187,ST ELIZABETHS HOSPITAL OF THE HOSPITAL SISTERS OF THE THIRD ORDER OF,BELLEVILLE,IL
140189,SARAH BUSH LINCOLN HEALTH CENTER,MATTOON,IL
140191,UCHICAGO MEDICINE INGALLS MEMORIAL HOSPITAL,HARVEY,IL
140191,INGALLS MEMORIAL HOSPITAL,CHICAGO,IL
140197,THOREK MEMORIAL HOSPITAL,CHICAGO,IL
140200,ELMHURST HOSPITAL,ELMHURST,IL
140200,ELMHURST MEMORIAL HOSPITAL,ELMHURST,IL
140202,ADVOCATE CONDELL MEDICAL CENTER,LIBERTYVILLE,IL
140206,NORWEGIAN AMERICAN HOSPITAL,CHICAGO,IL
140206,NORWEGIAN AMERICAN HOSPITAL INCORPORATED,CHICAGO,IL
140208,ADVOCATE CHILDRENS HOSPITAL - OAK LAWN,OAK LAWN,IL
140208,ADVOCATE CHRIST MEDICAL CENTER,OAK LAWN,IL
140208,ADVOCATE HEALTH AND HOSPITALS CORPORATION,Downers Grove,IL
140209,METHODIST MEDICAL CENTER OF ILLINOIS,Peoria,IL
140210,HARRISBURG MEDICAL CENTER INC,HARRISBURG,IL
140211,NORTHWESTERN MEDICINE DELNOR HOSPITAL (FKA DELNOR COMMUNITY HOSPITAL),GENEVA,IL
140211,DELNOR COMMUNITY HOSPITAL,GENEVA,IL
140213,SILVER CROSS HOSPITAL,NEW LENOX,IL
140213,SILVER CROSS HOSPITAL & MEDICAL CENTERS,NEW LENOX,IL
140217,AMITA HEALTH SAINT JOSEPH HOSPITAL ELGIN (FKA PRESENCE SAINT JOSEPH HOSPITAL - ELGIN),ELGIN,IL
140217,PRESENCE CENTRAL AND SUBURBAN HOSPITALS NETWORK,BOLINGBROOK,IL
140223,ADVOCATE CHILDRENS HOSPITAL - PARK RIDGE,PARK RIDGE,IL
140223,ADVOCATE LUTHERAN GENERAL HOSPITAL,PARK RIDGE,IL
140223,ADVOCATE HEALTH AND HOSPITALS CORPORATION,Downers Grove,IL
140224,AMITA HEALTH SAINT JOSEPH HOSPITAL CHICAGO (FKA PRESENCE SAINT JOSEPH HOSPITAL - CHICAGO),CHICAGO,IL
140224,PRESENCE CHICAGO HOSPITALS NETWORK,BOLINGBROOK,IL
140228,SWEDISHAMERICAN HOSPITAL,ROCKFORD,IL
140228,SWEDISHAMERICAN HOSPITAL,MILWAUKEE,WI
140231,EDWARD HOSPITAL (FKA EDWARD HEART HOSPITAL),NAPERVILLE,IL
140231,EDWARD HOSPITAL,NAPERVILLE,IL
140233,SAINT ANTHONY MEDICAL CENTER,ROCKFORD,IL
140234,ILLINOIS VALLEY COMMUNITY HOSPITAL,PERU,IL
140239,MERCYHEALTH JAVON BEA HOSPITAL - ROCKTON,ROCKFORD,IL
140239,JAVON BEA HOSPITAL,ROCKFORD,IL
140242,NORTHWESTERN MEDICINE CENTRAL DUPAGE HOSPITAL,WINFIELD,IL
140242,CENTRAL DUPAGE HOSPITAL ASSOCIATION,WINFIELD,IL
140250,ADVOCATE SOUTH SUBURBAN HOSPITAL,HAZEL CREST,IL
140250,ADVOCATE HEALTH AND HOSPITALS CORPORATION,Downers Grove,IL
140251,COMMUNITY FIRST MEDICAL CENTER (FKA OUR LADY OF THE RESURRECTION MEDICAL CENTER),CHICAGO,IL
140251,COMMUNITY FIRST HEALTHCARE OF ILLINOIS INC,CHICAGO,IL
140252,NORTHWEST COMMUNITY HOSPITAL (AKA NORTHWEST COMMUNITY HEALTHCARE),ARLINGTON HEIGHTS,IL
140252,NORTHWEST COMMUNITY HOSPITAL,ARLINGTON HEIGHTS,IL
140258,AMITA HEALTH ALEXIAN BROTHERS MEDICAL CENTER ELK GROVE VILLAGE,ELK GROVE VILLAGE,IL
140258,ALEXIAN BROTHERS MEDICAL CENTER,ELK GROVE VILLAGE,IL
140276,LOYOLA UNIVERSITY MEDICAL CENTER,MAYWOOD,IL
140280,TRINITY MEDICAL CENTER,ROCK ISLAND,IL
140281,NORTHWESTERN MEMORIAL HOSPITAL,CHICAGO,IL
140286,NORTHWESTERN MEDICINE KISHWAUKEE HOSPITAL (FKA KISHWAUKEE COMMUNITY HOSPITAL),DEKALB,IL
140286,KISHWAUKEE COMMUNITY HOSPITAL,DEKALB,IL
140288,ADVOCATE GOOD SAMARITAN HOSPITAL,DOWNERS GROVE,IL
140288,ADVOCATE HEALTH AND HOSPITALS CORPORATION,Downers Grove,IL
140289,"SOUTHWESTERN ILLINOIS HEALTH FACILITIES, INC.",MARYVILLE,IL
140290,AMITA HEALTH ST ALEXIUS MEDICAL CENTER HOFFMAN ESTATES,HOFFMAN ESTATES,IL
140290,ST ALEXIUS MEDICAL CENTER,HOFFMAN ESTATES,IL
140291,ADVOCATE GOOD SHEPHERD HOSPITAL,BARRINGTON,IL
140291,ADVOCATE HEALTH AND HOSPITALS CORPORATION,Downers Grove,IL
140292,AMITA HEALTH ADVENTIST MEDICAL CENTER GLENOAKS,GLENDALE HEIGHTS,IL
140292,ADVENTIST GLENOAKS HOSPITAL,LISLE,IL
140294,NATIONAL HEALTHCARE OF MT VERNON INC,BRENTWOOD,TN
140300,PROVIDENT HOSPITAL OF COOK COUNTY,CHICAGO,IL
140300,COOK COUNTY,CHICAGO,IL
140304,AMITA HEALTH ADVENTIST MEDICAL CENTER BOLINGBROOK,BOLINGBROOK,IL
140304,ADVENTIST BOLINGBROOK HOSPITAL,LISLE,IL
140307,"METRO-EAST SERVICES, INC.",BELLEVILLE,IL
143027,MARIANJOY REHABILITATION HOSPITAL,WHEATON,IL
150001,JOHNSON MEMORIAL HOSPITAL,FRANKLIN,IN
150002,METHODIST HOSPITALS - NORTHLAKE,GARY,IN
150002,THE METHODIST HOSPITALS INC,GARY,IN
150004,FRANCISCAN HEALTH HAMMOND (FKA FRANCISCAN ST MARGARET HEALTH - HAMMOND CAMPUS),HAMMOND,IN
150004,FRANCISCAN HEALTH DYER & HAMMOND,HAMMOND,IN
150005,HENDRICKS REGIONAL HEALTH - BROWNSBURG HOSPITAL,BROWNSBURG,IN
150005,HENDRICKS REGIONAL HEALTH - DANVILLE HOSPITAL,DANVILLE,IN
150005,HENDRICKS COUNTY HOSPITAL,PLAINFIELD,IN
150006,LA PORTE HOSPITAL COMPANY LLC,FRANKLIN,TN
150007,COMMUNITY HOWARD REGIONAL HEALTH INC,INDIANAPOLIS,IN
150008,ST CATHERINE HOSPITAL (IN),EAST CHICAGO,IN
150008,ST CATHERINE HOSPITAL INC,EAST CHICAGO,IN
150009,CLARK MEMORIAL HOSPITAL,JEFFERSONVILLE,IN
150009,RHN CLARK MEMORIAL HOSPITAL LLC,JEFFERSONVILLE,IN
150010,ST JOSEPH HOSPITAL & HEALTH CENTER INC,KOKOMO,IN
150011,MARION GENERAL HOSPITAL,MARION,IN
150012,SAINT JOSEPH REGIONAL MEDICAL CENTER SOUTH BEND CAMPUS INC.,SOUTH BEND,IN
150015,FRANCISCAN HEALTH MICHIGAN CITY,HAMMOND,IN
150017,IOM HEALTH SYSTEM LP,FORT WAYNE,IN
150018,ELKHART GENERAL HOSPITAL INC,SOUTH BEND,IN
150021,PARKVIEW REGIONAL MEDICAL CENTER,FORT WAYNE,IN
150021,PARKVIEW HOSPITAL RANDALLIA,FORT WAYNE,IN
150021,PARKVIEW HOSPITAL INC,FORT WAYNE,IN
150022,FRANCISCAN HEALTH CRAWFORDSVILLE,CRAWFORDSVLLE,IN
150023,UNION HOSPITAL INC,TERRE HAUTE,IN
150026,GOSHEN HEALTH HOSPITAL,GOSHEN,IN
150026,GOSHEN HOSPITAL ASSOCIATION INC,GOSHEN,IN
150030,HENRY COUNTY MEMORIAL HOSPITAL,LOUISVILLE,KY
150034,ST MARY MEDICAL CENTER (IN),HOBART,IN
150034,ST MARY MEDICAL CENTER INC,HOBART,IN
150035,PORTER HOSPITAL LLC,CHICAGO,IL
150037,HANCOCK REGIONAL HOSPITAL (AKA HANCOCK HEALTH),GREENFIELD,IN
150037,HANCOCK REGIONAL HOSPITAL,LOUISVILLE,KY
150042,GOOD SAMARITAN HOSPITAL,VINCENNES,IN
150044,BAPTIST HEALTH FLOYD (FKA FLOYD MEMORIAL HOSPITAL AND HEALTH SERVICES),NEW ALBANY,IN
150044,BAPTIST HEALTHCARE SYSTEM INC,LOUISVILLE,KY
150045,DEKALB MEMORIAL HOSPITAL INC,AUBURN,IN
150046,TERRE HAUTE REGIONAL HOSPITAL LP,TERRE HAUTE,IN
150047,ST JOSEPH HEALTH SYSTEM LLC,FORT WAYNE,IN
150048,REID HEALTH (FKA REID HOSPITAL & HEALTH CARE SERVICES),RICHMOND,IN
150048,REID HOSPITAL & HEALTH CARE SERVICES INC,RICHMOND,IN
150051,INDIANA UNIVERSITY HEALTH BLOOMINGTON INC,BLOOMINGTON,IN
150056,IU HEALTH METHODIST HOSPITAL,INDIANAPOLIS,IN
150056,INDIANA UNIVERSITY HEALTH INC,INDIANAPOLIS,IN
150057,FRANCISCAN HEALTH INDIANAPOLIS & MOORESVILLE,DETROIT,MI
150058,MEMORIAL HOSPITAL OF SOUTH BEND,SOUTH BEND,IN
150059,RIVERVIEW HOSPITAL,NOBLESVILLE,IN
150061,DAVIESS COUNTY HOSPITAL,WASHINGTON,IN
150065,JACKSON COUNTY SCHNECK MEMORIAL HOSPITAL,SEYMOUR,IN
150069,THE BETHANY CIRCLE OF KINGS DAUGHTERS OF MADISON INDIANA INC,EVANSVILLE,IN
150072,LOGANSPORT MEMORIAL HOSPITAL,LOGANSPORT,IN
150072,MEMORIAL HOSPITAL,LOGANSPORT,IN
150074,COMMUNITY HOSPITAL EAST,INDIANAPOLIS,IN
150075,BLUFFTON HEALTH SYSTEM LLC,BLUFFTON,IN
150076,SAINT JOSEPH REGIONAL MEDICAL CENTER- PLYMOUTH CAMPUS INC,SOUTH BEND,IN
150082,DEACONESS HOSPITAL INC,EVANSVILLE,IN
150084,ASCENSION ST VINCENT HOSPITAL - INDIANAPOLIS,INDIANAPOLIS,IN
150084,"ST. VINCENT HOSPITAL & HEALTH CARE CENTER, INC.",INDIANAPOLIS,IN
150086,DEARBORN COUNTY HOSPITAL,Lawrenceburg,IN
150088,ST VINCENT ANDERSON REGIONAL HOSPITAL INC,ANDERSON,IN
150089,"INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL, INC.",INDIANAPOLIS,IN
150090,FRANCISCAN HEALTH DYER (FKA FRANCISCAN ST MARGARET HEALTH - DYER CAMPUS),DYER,IN
150090,FRANCISCAN HEALTH DYER & HAMMOND,HAMMOND,IN
150091,"HUNTINGTON MEMORIAL HOSPITAL, INC.",HUNTINGTON,IN
150097,MAJOR HEALTH PARTNERS MEDICAL CENTER (FKA MAJOR HOSPITAL),SHELBYVILLE,IN
150097,MAJOR HOSPITAL,SHELBYVILLE,IN
150100,ST MARYS HEALTH INC,EVANSVILLE,IN
150101,WHITLEY MEMORIAL HOSPITAL INC,FORT WAYNE,IN
150104,WITHAM HEALTH SERVICES,LEBANON,IN
150104,WITHAM MEMORIAL HOSPITAL,LOUISVILLE,KY
150109,FRANCISCAN HEALTH LAFAYETTE EAST (FKA FRANCISCAN ST ELIZABETH HEALTH - LAFAYETTE EAST CAMPUS),LAFAYETTE,IN
150109,FRANCISCAN HEALTH LAFAYETTE,LAFAYETTE,IN
150112,COLUMBUS REGIONAL HOSPITAL,BLUE ASH,OH
150113,"COMMUNITY HOSPITAL OF ANDERSON & MADISON COUNTY, INC",ANDERSON,IN
150113,COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY INCORPORATED,ANDERSON,IN
150115,LITTLE COMPANY OF MARY HOSPITAL OF INDIANA INC,JASPER,IN
150125,COMMUNITY HOSPITAL,MUNSTER,IN
150125,MUNSTER MEDICAL RESEARCH FOUNDATION INC,MUNSTER,IN
150126,FRANCISCAN HEALTH CROWN POINT,HAMMOND,IN
150128,COMMUNITY HOSPITAL SOUTH,INDIANAPOLIS,IN
150128,"COMMUNITY HOSPITAL SOUTH, INC.",INDIANAPOLIS,IN
150133,WARSAW HEALTH SYSTEM LLC,CHICAGO,IL
150146,PARKVIEW NOBLE HOSPITAL,KENDALLVILLE,IN
150146,COMMUNITY HOSPITAL OF NOBLE COUNTY INC,FORT WAYNE,IN
150150,DUPONT HOSPITAL LLC,CHICAGO,IL
150154,COMMUNITY HEART AND VASCULAR HOSPITAL (FKA INDIANA HEART HOSPITAL),INDIANAPOLIS,IN
150157,"ST. VINCENT CARMEL HOSPITAL, INC.",CARMEL,IN
150158,IU HEALTH WEST HOSPITAL (FKA CLARIAN WEST MEDICAL CENTER),AVON,IN
150158,"INDIANA UNIVERSITY HEALTH WEST HOSPITAL, INC",INDIANAPOLIS,IN
150161,IU HEALTH NORTH HOSPITAL,CARMEL,IN
150161,INDIANA UNIVERSITY HEALTH NORTH HOSPITAL INC,INDIANAPOLIS,IN
150162,FRANCISCAN HEALTH INDIANAPOLIS (FKA FRANCISCAN ST FRANCIS HEALTH - INDIANAPOLIS),INDIANAPOLIS,IN
150162,FRANCISCAN HEALTH INDIANAPOLIS & MOORESVILLE,DETROIT,MI
150165,FRANCISCAN HEALTH MUNSTER,HAMMOND,IN
150169,COMMUNITY HOSPITAL NORTH,INDIANAPOLIS,IN
150169,COMMUNITY HEALTH NETWORK INC,INDIANAPOLIS,IN
150173,INDIANA UNIVERSITY HEALTH ARNETT INC,LAFAYETTE,IN
150181,ST VINCENT FISHERS HOSPITAL INC,FISHERS,IN
151306,IU HEALTH PAOLI HOSPITAL (FKA BLOOMINGTON HOSPITAL OF ORANGE COUNTY),PAOLI,IN
151317,GREENE COUNTY GENERAL HOSPITAL,LINTON,IN
151318,DUKES MEMORIAL HOSPITAL,PERU,IN
151323,PARKVIEW LAGRANGE HOSPITAL,LA GRANGE,IN
151328,IU HEALTH BEDFORD HOSPITAL,BEDFORD,IN
151329,MARGARET MARY HEALTH (FKA MARGARET MARY COMMUNITY HOSPITAL),BATESVILLE,IN
151331,HARRISON COUNTY HOSPITAL,CORYDON,IN
151332,DECATUR COUNTY MEMORIAL HOSPITAL,GREENSBURG,IN
153043,COMMUNITY REHABILITATION HOSPITAL NORTH,INDIANAPOLIS,IN
160001,UNITYPOINT HEALTH - MARSHALLTOWN,MARSHALLTOWN,IA
160005,ST ANTHONY REGIONAL HOSPITAL AND NURSING HOME,CARROLL,IA
160013,UNITY HEALTHCARE,ROCK ISLAND,IL
160016,TRINITY REGIONAL MEDICAL CENTER,FORT DODGE,IA
160028,ALEGENT HEALTH BERGAN MERCY HEALTH SYSTEM,OMAHA,NE
160029,MERCY HOSPITAL IOWA CITY IOWA,IOWA CITY,IA
160030,MARY GREELEY MEDICAL CENTER,AMES,IA
160032,MERCY MEDICAL CENTER-NEWTON,NEWTON,IA
160035,MOUNT CARMEL EAST,COLUMBUS,OH
160040,SARTORI MEMORIAL HOSPITAL INC,WATERLOO,IA
160045,ST LUKES METHODIST HOSPITAL,DES MOINES,IA
160047,JENNIE EDMUNDSON MEMORIAL HOSPITAL,COUNCIL BLUFFS,IA
160057,GREAT RIVER MEDICAL CENTER,WEST BURLINGTON,IA
160058,UNIVERSITY OF IOWA HOSPITALS & CLINICS,IOWA CITY,IA
160058,STATE UNIVERSITY OF IOWA,Iowa City,IA
160064,MERCY HEALTH SERVICES - IOWA CORP,MASON CITY,IA
160067,MERCYONE WATERLOO MEDICAL CENTER (FKA COVENANT MEDICAL CENTER),WATERLOO,IA
160067,COVENANT MEDICAL CENTER INC,WATERLOO,IA
160069,MERCY MEDICAL CENTER-DUBUQUE,DUBUQUE,IA
160079,MERCY MEDICAL CENTER,CEDAR RAPIDS,IA
160080,MERCY MEDICAL CENTER-CLINTON INC,CLINTON,IA
160082,IOWA METHODIST MEDICAL CENTER,DES MOINES,IA
160082,CENTRAL IOWA HOSPITAL CORPORATION,DES MOINES,IA
160083,MERCYONE DES MOINES MEDICAL CENTER (FKA MERCY MEDICAL CENTER - DES MOINES),DES MOINES,IA
160083,CATHOLIC HEALTH INITIATIVES-IOWA CORP,DES MOINES,IA
160089,OTTUMWA REGIONAL HEALTH CENTER,OTTUMWA,IA
160089,RCHP OTTUMWA LLC,OTTUMWA,IA
160101,BROADLAWNS MEDICAL CENTER,DES MOINES,IA
160104,TRINITY MEDICAL CENTER,ROCK ISLAND,IL
160110,ALLEN HOSPITAL (FKA ALLEN MEMORIAL HOSPITAL),WATERLOO,IA
160110,ALLEN MEMORIAL HOSPITAL CORPORATION,WATERLOO,IA
160112,SPENCER MUNICIPAL HOSPITAL,SPENCER,IA
160117,THE FINLEY HOSPITAL,DUBUQUE,IA
160122,FORT MADISON COMMUNITY HOSPITAL,FORT MADISON,IA
160124,LAKES REGIONAL HEALTHCARE,SPIRIT LAKE,IA
160146,UNITYPOINT HEALTH SIOUX CITY - ST LUKES REGIONAL MEDICAL CENTER,SIOUX CITY,IA
160146,NORTHWEST IOWA HOSPITAL CORPORATION,SIOUX CITY,IA
160147,UNITYPOINT HEALTH GRINNELL - GRINNELL REGIONAL MEDICAL CENTER,GRINNELL,IA
160147,GRINNELL REGIONAL MEDICAL CENTER,GRINNELL,IA
160153,MERCYONE SIOUXLAND MEDICAL CENTER (FKA MERCY MEDICAL CENTER - SIOUX CITY),SIOUX CITY,IA
160153,MARIAN HEALTH CENTER-SMHC,SIOUX CITY,IA
161322,DALLAS COUNTY HOSPITAL,PERRY,IA
161362,CHEROKEE REGIONAL MEDICAL CENTER,CHEROKEE,IA
161375,BUENA VISTA REGIONAL MEDICAL CENTER,STORM LAKE,IA
170006,ASCENSION VIA CHRISTI HOSPITAL PITTSBURG INC,PITTSBURG,KS
170009,SAINT JOHN HOSPITAL,LEAVENWORTH,KS
170009,PRIME HEALTHCARE SERVICES SAINT JOHN LEAVENWORTH LLC,LEAVENWORTH,KS
170012,SALINA REGIONAL HEALTH CENTER INC,SALINA,KS
170013,HAYS MEDICAL CENTER INC,HAYS,KS
170014,ADVENTHEALTH RANSOM MEMORIAL INC,MERRIAM,KS
170016,"TOPEKA HOSPITAL, LLC",TOPEKA,KS
170020,HUTCHINSON REGIONAL MEDICAL CENTER INC,HUTCHINSON,KS
170023,ST CATHERINE HOSPITAL (KS),GARDEN CITY,KS
170023,ST CATHERINE HOSPITAL,GARDEN CITY,KS
170027,PRATT REGIONAL MEDICAL CENTER CORPORATION,PRATT,KS
170040,THE UNIVERSITY OF KANSAS HOSPITAL,KANSAS CITY,KS
170040,UNIVERSITY OF KANSAS HOSPITAL AUTHORITY,WESTWOOD,KS
170049,OLATHE MEDICAL CENTER INC,OLATHE,KS
170068,SOUTHWEST MEDICAL CENTER,LIBERAL,KS
170074,GEARY COUNTY HOSPITAL,JUNCTION CITY,KS
170086,STORMONT-VAIL HEALTHCARE INC,TOPEKA,KS
170103,NEWTON HEALTHCARE CORPORATION,NEWTON,KS
170104,SHAWNEE MISSION MEDICAL CENTER INC,MERRIAM,KS
170105,"MCPHERSON HOSPITAL, INC.",MCPHERSON,KS
170110,ST CATHERINE HOSPITAL,GARDEN CITY,KS
170120,LABETTE COUNTY MEDICAL CENTER,PARSONS,KS
170122,ASCENSION VIA CHRISTI HOSPITALS WICHITA INC,WICHITA,KS
170123,WESLEY MEDICAL CENTER LLC,WICHITA,KS
170137,LAWRENCE MEMORIAL HOSPITAL,LAWRENCE,KS
170142,ASCENSION VIA CHRISTI HOSPITAL MANHATTAN INC,MANHATTAN,KS
170145,COFFEYVILLE REGIONAL MEDICAL CENTER INC,COFFEYVILLE,KS
170146,PROVIDENCE MEDICAL CENTER,KANSAS CITY,KS
170146,PRIME HEALTHCARE SERVICES PROVIDENCE LLC,KANSAS CITY,KS
170150,SOUTH CENTRAL KANSAS REGIONAL MEDICAL CENTER,ARKANSAS CITY,KS
170175,WESTERN PLAINS MEDICAL COMPLEX,DODGE CITY,KS
170175,DODGE CITY HEALTHCARE GROUP LLC,DODGE CITY,KS
170176,MIDWEST DIVISON OPRMC LLC,OVERLAND PARK,KS
170182,"MIDWEST DIVISION - MMC, LLC",OVERLAND PARK,KS
